Property No. ,Type of Access (X2),Neighbourhood Status (X3),Building Condition (X4),Type of Walls (X5),Type of Wall finish (X6),Type of Floor Finish (X7),Type of Ceiling (X8),NWSC Availabilty (X9),Hydro Power Availabilty (X10),Type of Saniation Facility (X11),Availabilty of Parking Space (X12),Type of Security (X13),Type of Boundary Wall (X14),Occupency Type ,Carpet Area ,Usage Type,Usage SubType,ALV,RV,Property Tax,Avg. Property Rate (per SQM)
P117000229,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,CHAIN LINK,RENTED,24.15,INSTITUTIONAL,Residentialbuilding,3008571.429,2106000,126360,5232.30
P117000230,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,CHAIN LINK,RENTED,227.6,INSTITUTIONAL,Residentialbuilding,24068571.43,16848000,1010880,4441.48
P117000231,Main Road,HIGH CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,CHAIN LINK,RENTED,86.92,INSTITUTIONAL,Canteen_Cafeteria,1276681.429,893677,53620.62,616.90
P117000247,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,1242.1,COMMERCIAL,Office_Space,82978387.14,58084871,3485092.26,2805.81
P117000248,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,SECURITY GUARD,WALL,RENTED,1044.3,COMMERCIAL,Office_Space,62388748.57,43672124,2620327.44,2509.17
P117000254,Main Road,HIGH CLASS,GOOD,BRICKS,PAINTED,TERRAZZO,ACOUSTIC,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,1311.24,COMMERCIAL,Retail_Space_Office_Space,240121187.1,168084831,10085089.86,7691.26
P117000260,Side Road,SLUM,FAIR,BRICKS,PAINTED,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,SECURITY GUARD,WALL,RENTED,120.09,RESIDENTIALRENTED,Apartment,7650000,5967000,358020,2981.26
P117000261,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,SECURITY GUARD,WALL,RENTED,67.58,RESIDENTIALRENTED,Mainbuilding,3600000,2808000,168480,2493.05
P117000262,Side Road,SLUM,FAIR,BRICKS,ROUGH CAST,CEMENT SCREED,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,SEPTIC TANK,YES,SECURITY GUARD,WALL,RENTED,126.94,RESIDENTIALRENTED,Maisonnette,7200000,5616000,336960,2654.48
P117000265,Main Road,HIGH CLASS,GOOD,BRICKS,CLAY BRICKS,CERAMIC TILES,GYPSUM,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,198.19,SPECIAL,Substation,5822030,4075421,244525.26,1233.79
P117000268,Main Road,HIGH CLASS,GOOD,METALLIC SHEETING,PAINTED,TERRAZZO,GYPSUM,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,CCTV,WALL,RENTED,13776.8,COMMERCIAL,Retail_Space_Office_Space,1693288454,1185301918,71118115.08,5162.17
P117000269,Main Road,HIGH CLASS,GOOD,METALLIC SHEETING,TILES,CERAMIC TILES,GYPSUM,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,NONE,RENTED,22633.5,COMMERCIAL,Office_Space,4722750144,3305925101,198355506.1,8763.80
P117000272,Main Road,MIDDLE CLASS,GOOD,BRICKS,PAINTED,CERAMIC TILES,SOFT BOARD,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,466.6,COMMERCIAL,Retail_Space,74626138,44775683,2686540.98,5757.70
P117000274,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,674.1,SPECIAL,Hospital,92411021.43,64687715,3881262.9,5757.70
P117000275,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,811.34,SPECIAL,Hospital,111224978.6,77857485,4671449.1,5757.70
P117000276,Main Road,MIDDLE CLASS,UNDER RENOVATION,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,435.98,SPECIAL,Hospital,59767625.71,41837338,2510240.28,5757.70
P117000277,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CEMENT SCREED,NONE,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,97.92,SPECIAL,Hospital,838978.5714,587285,35237.1,359.86
P117000278,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,167.44,SPECIAL,Hospital,11477007.14,8033905,482034.3,2878.85
P117000279,Main Road,MIDDLE CLASS,GOOD,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,1465.95,SPECIAL,Hospital,200964154.3,140674908,8440494.48,5757.70
P117000281,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,1745.1,COMMERCIAL,Office_Space,99782667.14,69847867,4190872.02,2401.51
P117000282,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,395.2,RESIDENTIALRENTED,Mainbuilding,91800000,71604000,4296240,10871.05
P117000283,Main Road,MIDDLE CLASS,FAIR,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,59,RESIDENTIALRENTED,Outbuilding,1350000,1053000,63180,1070.85
P117000284,Main Road,MIDDLE CLASS,GOOD,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,414.6,RESIDENTIALRENTED,Mainbuilding,97920000,45983333,2758999.98,6654.61
P117000285,Main Road,MIDDLE CLASS,GOOD,BRICKS,PAINTED,CERAMIC TILES,PLASTERED PAINTED,NWSC SUPPLY,HYDRO,PUBLIC SEWER,YES,SECURITY GUARD,WALL,RENTED,414.6,RESIDENTIALRENTED,Mainbuilding,97920000,45500000,2730000,6584.66
